feature,gain,weight,cover,shap
remainder__total_touchdowns_ewma_position_normalized,29.41248893737793,261.0,1136.13720703125,0.32894718647003174
remainder__spread_line,19.325536727905273,507.0,1314.35400390625,0.32874563336372375
remainder__red_zone_touch_share_ewma_position_normalized,11.197325706481934,170.0,1296.8094482421875,0.31242382526397705
remainder__red_zone_touches_ewma_position_normalized,21.30765724182129,187.0,1212.0958251953125,0.25719043612480164
remainder__touches_ewma_position_normalized,35.57822036743164,140.0,1183.9742431640625,0.23682460188865662
remainder__team_win_probability,11.684379577636719,143.0,1074.4317626953125,0.20816826820373535
remainder__targets_ewma_position_normalized,11.103511810302734,147.0,1265.1656494140625,0.18151065707206726
remainder__opponent_red_zone_def_rank,15.083770751953125,381.0,1169.574462890625,0.17100711166858673
remainder__total_yards_ewma_position_normalized,23.606908798217773,163.0,1016.965576171875,0.16104623675346375
remainder__qb_passing_yards_ewma,12.327895164489746,185.0,871.0549926757812,0.14719437062740326
remainder__qb_rushing_yards_ewma,12.609025955200195,151.0,888.9307861328125,0.1296979933977127
remainder__reception_rate_ewma_position_normalized,7.448953151702881,155.0,1200.9736328125,0.12382613122463226
remainder__team_total_red_zone_touches_ewma,7.868023872375488,147.0,900.1710205078125,0.10920452326536179
remainder__def_ewma_TDs_allowed_per_game,7.228509902954102,148.0,674.8820190429688,0.08474742621183395
remainder__team_play_volume_ewma,6.145972728729248,156.0,779.6588745117188,0.0814957246184349
remainder__def_ewma_interceptions_per_game,6.733126163482666,141.0,850.0414428710938,0.07786895334720612
remainder__recent_total_breakout_tds_position_normalized,7.6582465171813965,6.0,547.945556640625,0.00404594698920846
remainder__recent_breakout_game,7.993810176849365,3.0,905.1793823242188,0.0027511364314705133
remainder__recent_total_breakout_yards_position_normalized,0.0,0.0,0.0,0.0
